x,y,t,p,label,name
342,102,23.159,1,0,0
36,102,23.171,1,0,0
153,103,23.191,1,0,0
165,108,23.381,1,0,0
140,110,23.446,1,0,0
76,225,23.688,1,1,1
132,117,23.701,1,0,0
127,118,23.716,1,0,0
41,118,23.741,1,0,0
213,119,23.752,1,0,0
103,119,23.776,1,0,0
336,120,23.786,1,0,0
343,120,23.815,1,0,0
162,122,23.866,1,0,0
320,127,24.031,1,0,0
57,128,24.097,1,0,0
98,133,24.253,1,0,0
10,136,24.347,1,0,0
75,224,24.458,0,1,1
209,143,24.601,1,0,0
197,144,24.648,1,0,0
33,148,24.771,1,0,0
125,152,24.915,1,0,0
52,152,24.932,1,0,0
106,153,24.953,1,0,0
175,154,24.984,1,0,0
157,159,25.069,1,0,0
275,157,25.107,1,0,0
94,158,25.125,1,0,0
167,158,25.15,1,0,0
151,159,25.164,1,0,0
110,159,25.165,1,0,0
160,159,25.174,1,0,0
55,160,25.198,1,0,0
300,160,25.213,1,0,0
234,163,25.307,1,0,0
246,164,25.337,1,0,0
53,165,25.375,1,0,0
295,166,25.414,1,0,0
305,167,25.448,1,0,0
284,167,25.464,1,0,0
130,169,25.522,1,0,0
77,224,25.582,0,1,1
134,171,25.594,1,0,0
208,172,25.619,1,0,0
218,173,25.663,1,0,0
128,175,25.723,1,0,0
325,175,25.75,1,0,0
166,176,25.763,1,0,0
165,178,25.83,1,0,0
178,179,25.878,1,0,0
248,180,25.918,1,0,0
284,182,25.975,1,0,0
178,183,26.01,1,0,0
297,184,26.041,1,0,0
149,184,26.059,1,0,0
98,186,26.137,1,0,0
312,187,26.15,1,0,0
200,189,26.228,1,0,0
79,192,26.328,1,0,0
174,192,26.339,1,0,0
80,193,26.361,1,0,0
77,193,26.378,1,0,0
238,197,26.516,1,0,0
72,199,26.573,1,0,0
111,200,26.617,1,0,0
106,202,26.705,1,0,0
140,203,26.712,1,0,0
200,205,26.788,1,0,0
113,206,26.818,1,0,0
116,208,26.891,1,0,0
179,212,27.034,1,0,0
245,223,27.445,1,0,0
77,226,27.522,1,1,1
328,230,27.68,1,0,0
184,232,27.735,1,0,0
154,240,28.033,1,0,0
330,242,28.106,1,0,0
8,252,28.443,1,0,0
187,254,28.517,1,0,0
86,103,28.915,1,0,0
78,225,29.726,1,1,1
76,224,30.239,0,1,1
77,225,31.673,1,1,1
75,225,33.294,1,1,1
78,224,34.734,0,1,1
76,225,37.292,1,1,1
79,224,37.411,0,1,1
77,223,38.67,0,1,1
79,225,39.16,1,1,1
75,223,40.53,0,1,1
74,223,47.337,0,1,1
79,223,49.285,0,1,1
219,5,50.434,1,0,0
335,5,50.449,1,0,0
258,12,50.701,1,0,0
189,14,50.767,1,0,0
241,16,50.828,1,0,0
82,16,50.839,1,0,0
273,21,51.002,1,0,0
58,21,51.009,1,0,0
244,21,51.018,1,0,0
216,24,51.115,1,0,0
68,31,51.35,1,0,0
307,32,51.385,1,0,0
68,32,51.392,1,0,0
196,32,51.405,1,0,0
77,223,51.424,0,1,1
305,35,51.487,1,0,0
51,40,51.67,1,0,0
160,42,51.76,1,0,0
63,44,51.834,1,0,0
50,47,51.919,1,0,0
77,224,51.999,1,1,1
104,51,52.079,1,0,0
109,55,52.202,1,0,0
100,56,52.239,1,0,0
48,61,52.413,1,0,0
158,64,52.526,1,0,0
78,223,52.561,0,1,1
67,72,52.812,1,0,0
67,78,53.012,1,0,0
111,82,53.158,1,0,0
153,83,53.187,1,0,0
198,86,53.305,1,0,0
72,87,53.326,1,0,0
90,87,53.342,1,0,0
258,91,53.466,1,0,0
200,91,53.473,1,0,0
258,92,53.509,1,0,0
114,101,53.828,1,0,0
176,106,53.997,1,0,0
55,112,54.226,1,0,0
224,115,54.317,1,0,0
70,118,54.424,1,0,0
104,119,54.453,1,0,0
243,120,54.506,1,0,0
262,120,54.506,1,0,0
51,122,54.56,1,0,0
260,123,54.621,1,0,0
49,124,54.652,1,0,0
166,127,54.734,1,0,0
51,128,54.77,1,0,0
47,128,54.785,1,0,0
48,132,54.912,1,0,0
45,133,54.962,1,0,0
221,134,54.99,1,0,0
288,136,55.052,1,0,0
158,147,55.444,1,0,0
212,151,55.591,1,0,0
51,152,55.642,1,0,0
184,156,55.761,1,0,0
249,158,55.855,1,0,0
94,159,55.864,1,0,0
185,160,55.902,1,0,0
278,160,55.909,1,0,0
184,161,55.932,1,0,0
178,163,56.02,1,0,0
158,164,56.061,1,0,0
208,165,56.079,1,0,0
264,166,56.108,1,0,0
185,167,56.159,1,0,0
250,168,56.182,1,0,0
92,114,56.339,1,0,0
238,174,56.406,1,0,0
162,175,56.433,1,0,0
209,175,56.453,1,0,0
168,176,56.478,1,0,0
168,178,56.551,1,0,0
103,180,56.611,1,0,0
176,181,56.665,1,0,0
180,184,56.763,1,0,0
312,186,56.828,1,0,0
72,187,56.851,1,0,0
182,188,56.89,1,0,0
247,188,56.903,1,0,0
72,189,56.929,1,0,0
206,191,56.998,1,0,0
83,192,57.025,1,0,0
44,192,57.04,1,0,0
180,192,57.052,1,0,0
280,199,57.283,1,0,0
55,200,57.321,1,0,0
72,202,57.383,1,0,0
304,204,57.465,1,0,0
271,206,57.526,1,0,0
225,207,57.573,1,0,0
297,208,57.603,1,0,0
237,212,57.743,1,0,0
236,213,57.786,1,0,0
47,214,57.802,1,0,0
41,216,57.882,1,0,0
181,220,58.033,1,0,0
228,222,58.092,1,0,0
31,224,58.163,1,0,0
16,6,59.765,1,0,0
302,7,59.805,1,0,0
316,11,59.944,1,0,0
164,12,60.004,1,0,0
50,14,60.056,1,0,0
171,24,60.398,1,0,0
135,24,60.405,1,0,0
135,27,60.534,1,0,0
26,30,60.611,1,0,0
304,32,60.678,1,0,0
303,35,60.788,1,0,0
211,35,60.789,1,0,0
78,39,60.928,1,0,0
291,42,61.039,1,0,0
183,42,61.046,1,0,0
78,43,61.076,1,0,0
186,44,61.106,1,0,0
343,47,61.216,1,0,0
146,47,61.226,1,0,0
71,48,61.256,1,0,0
192,52,61.402,1,0,0
160,53,61.422,1,0,0
224,55,61.502,1,0,0
83,56,61.526,1,0,0
20,58,61.606,1,0,0
81,60,61.674,1,0,0
42,61,61.705,1,0,0
141,62,61.739,1,0,0
43,62,61.765,1,0,0
95,63,61.776,1,0,0
82,63,61.786,1,0,0
256,68,61.954,1,0,0
104,68,61.961,1,0,0
335,69,62.002,1,0,0
256,70,62.021,1,0,0
244,70,62.038,1,0,0
46,70,62.046,1,0,0
136,71,62.056,1,0,0
162,71,62.084,1,0,0
168,72,62.091,1,0,0
278,75,62.2,1,0,0
89,76,62.254,1,0,0
181,78,62.333,1,0,0
163,79,62.356,1,0,0
255,80,62.372,1,0,0
42,80,62.384,1,0,0
46,80,62.402,1,0,0
119,83,62.479,1,0,0
296,83,62.489,1,0,0
320,84,62.526,1,0,0
42,86,62.591,1,0,0
215,87,62.622,1,0,0
16,87,62.632,1,0,0
173,92,62.796,1,0,0
114,94,62.868,1,0,0
86,95,62.903,1,0,0
26,95,62.933,1,0,0
307,96,62.938,1,0,0
327,98,63.017,1,0,0
161,101,63.115,1,0,0
166,102,63.151,1,0,0
131,104,63.227,1,0,0
132,105,63.28,1,0,0
257,106,63.313,1,0,0
262,107,63.33,1,0,0
264,107,63.345,1,0,0
260,108,63.364,1,0,0
309,109,63.395,1,0,0
131,109,63.402,1,0,0
128,109,63.413,1,0,0
229,112,63.53,1,0,0
175,127,64.045,1,0,0
139,133,64.246,1,0,0
208,134,64.3,1,0,0
232,135,64.321,1,0,0
109,136,64.356,1,0,0
318,138,64.426,1,0,0
222,140,64.5,1,0,0
215,142,64.566,1,0,0
220,143,64.605,1,0,0
112,144,64.634,1,0,0
112,146,64.704,1,0,0
247,149,64.839,1,0,0
299,151,64.88,1,0,0
232,153,64.957,1,0,0
320,154,64.988,1,0,0
77,224,65.109,1,1,1
328,160,65.206,1,0,0
284,160,65.214,1,0,0
76,224,65.458,1,1,1
184,170,65.551,1,0,0
187,176,65.77,1,0,0
185,178,65.841,1,0,0
190,180,65.908,1,0,0
25,184,66.053,1,0,0
240,192,66.327,1,0,0
175,196,66.475,1,0,0
174,196,66.495,1,0,0
173,198,66.558,1,0,0
77,223,66.63,0,1,1
148,205,66.793,1,0,0
53,206,66.835,1,0,0
190,208,66.893,1,0,0
152,208,66.916,1,0,0
158,210,66.979,1,0,0
78,224,67.026,1,1,1
152,212,67.028,1,0,0
25,213,67.083,1,0,0
307,215,67.138,1,0,0
91,216,67.169,1,0,0
32,218,67.268,1,0,0
88,219,67.279,1,0,0
79,225,67.497,1,1,1
172,226,67.533,1,0,0
103,228,67.603,1,0,0
146,229,67.633,1,0,0
227,231,67.728,1,0,0
328,232,67.737,1,0,0
147,232,67.75,1,0,0
234,236,67.877,1,0,0
165,239,68.006,1,0,0
215,253,68.486,1,0,0
78,223,73.528,0,1,1
76,224,75.21,1,1,1
77,224,75.966,1,1,1
79,224,76.016,1,1,1
78,224,79.467,1,1,1
77,222,79.735,0,1,1
76,222,80.312,0,1,1
79,223,81.178,0,1,1
74,222,88.186,0,1,1
198,4,90.405,1,0,0
185,7,90.505,1,0,0
162,12,90.679,1,0,0
264,13,90.714,1,0,0
163,13,90.723,1,0,0
166,15,90.795,1,0,0
279,15,90.809,1,0,0
199,19,90.944,1,0,0
203,24,91.107,1,0,0
288,28,91.245,1,0,0
291,29,91.295,1,0,0
210,30,91.317,1,0,0
207,30,91.325,1,0,0
51,32,91.384,1,0,0
226,37,91.564,1,0,0
215,39,91.637,1,0,0
287,45,91.873,1,0,0
76,224,92.033,1,1,1
218,59,92.359,1,0,0
54,62,92.45,1,0,0
104,70,92.738,1,0,0
225,71,92.777,1,0,0
80,84,93.231,1,0,0
280,85,93.265,1,0,0
242,85,93.28,1,0,0
209,88,93.362,1,0,0
65,93,93.538,1,0,0
129,99,93.749,1,0,0
96,103,93.911,1,0,0
295,104,93.922,1,0,0
289,105,93.961,1,0,0
269,107,94.034,1,0,0
74,107,94.048,1,0,0
322,108,94.069,1,0,0
321,110,94.161,1,0,0
218,111,94.18,1,0,0
204,80,94.229,1,0,0
286,117,94.392,1,0,0
40,118,94.427,1,0,0
223,121,94.521,1,0,0
63,122,94.575,1,0,0
69,124,94.63,1,0,0
334,124,94.645,1,0,0
58,126,94.707,1,0,0
160,127,94.764,1,0,0
172,131,94.881,1,0,0
342,133,94.953,1,0,0
151,141,95.23,1,0,0
91,149,95.515,1,0,0
342,149,95.535,1,0,0
265,150,95.558,1,0,0
304,152,95.628,1,0,0
208,155,95.727,1,0,0
215,160,95.903,1,0,0
338,165,96.093,1,0,0
102,166,96.107,1,0,0
213,166,96.129,1,0,0
168,168,96.185,1,0,0
95,171,96.301,1,0,0
132,176,96.477,1,0,0
28,177,96.513,1,0,0
225,184,96.764,1,0,0
200,190,96.962,1,0,0
182,192,97.047,1,0,0
215,198,97.245,1,0,0
158,199,97.275,1,0,0
68,199,97.301,1,0,0
307,204,97.468,1,0,0
194,207,97.565,1,0,0
207,208,97.608,1,0,0
28,212,97.738,1,0,0
203,213,97.768,1,0,0
157,214,97.811,1,0,0
343,220,98.02,1,0,0
334,222,98.095,1,0,0
200,224,98.152,1,0,0
183,224,98.182,1,0,0
188,228,98.297,1,0,0
201,230,98.389,1,0,0
204,231,98.41,1,0,0
307,238,98.654,1,0,0
74,250,99.082,1,0,0
157,2,99.632,1,0,0
153,5,99.733,1,0,0
71,6,99.766,1,0,0
334,6,99.793,1,0,0
64,11,99.956,1,0,0
63,12,99.993,1,0,0
50,16,100.116,1,0,0
76,222,100.159,0,1,1
208,18,100.208,1,0,0
279,19,100.224,1,0,0
184,20,100.264,1,0,0
131,21,100.309,1,0,0
95,22,100.33,1,0,0
312,23,100.364,1,0,0
50,24,100.402,1,0,0
55,26,100.487,1,0,0
63,28,100.542,1,0,0
184,29,100.575,1,0,0
58,29,100.599,1,0,0
94,30,100.616,1,0,0
279,36,100.824,1,0,0
276,36,100.848,1,0,0
155,37,100.86,1,0,0
343,38,100.893,1,0,0
97,42,101.033,1,0,0
325,44,101.106,1,0,0
335,45,101.15,1,0,0
86,47,101.217,1,0,0
267,53,101.423,1,0,0
44,56,101.534,1,0,0
264,56,101.552,1,0,0
217,62,101.75,1,0,0
232,69,101.99,1,0,0
31,70,102.024,1,0,0
78,77,102.278,1,0,0
243,79,102.342,1,0,0
33,85,102.554,1,0,0
317,86,102.604,1,0,0
120,87,102.651,1,0,0
313,91,102.769,1,0,0
71,92,102.801,1,0,0
261,94,102.874,1,0,0
174,96,102.938,1,0,0
128,96,102.948,1,0,0
173,97,102.975,1,0,0
131,97,102.981,1,0,0
302,98,103.034,1,0,0
295,102,103.166,1,0,0
288,104,103.221,1,0,0
240,108,103.361,1,0,0
267,110,103.432,1,0,0
249,112,103.515,1,0,0
135,117,103.681,1,0,0
56,118,103.741,1,0,0
139,119,103.753,1,0,0
113,120,103.784,1,0,0
66,120,103.795,1,0,0
288,122,103.882,1,0,0
64,125,103.963,1,0,0
42,127,104.04,1,0,0
124,133,104.256,1,0,0
200,136,104.355,1,0,0
201,139,104.459,1,0,0
244,142,104.564,1,0,0
295,149,104.826,1,0,0
296,150,104.849,1,0,0
204,152,104.916,1,0,0
274,158,105.134,1,0,0
277,158,105.154,1,0,0
11,159,105.16,1,0,0
75,223,105.171,1,1,1
57,160,105.2,1,0,0
120,165,105.377,1,0,0
130,178,105.836,1,0,0
143,181,105.941,1,0,0
218,184,106.058,1,0,0
220,187,106.159,1,0,0
321,192,106.34,1,0,0
77,222,106.349,0,1,1
181,198,106.558,1,0,0
208,199,106.587,1,0,0
224,203,106.729,1,0,0
165,206,106.828,1,0,0
108,214,107.112,1,0,0
119,215,107.139,1,0,0
109,220,107.336,1,0,0
112,221,107.352,1,0,0
78,223,107.417,1,1,1
104,224,107.478,1,0,0
215,228,107.594,1,0,0
207,230,107.692,1,0,0
160,236,107.896,1,0,0
191,246,108.255,1,0,0
152,251,108.408,1,0,0
310,254,108.526,1,0,0
76,223,112.906,1,1,1
76,222,113.859,0,1,1
77,223,113.884,1,1,1
75,222,114.17,0,1,1
75,223,117.662,1,1,1
79,223,123.682,1,1,1
76,222,126.418,0,1,1
79,222,129.721,0,1,1
322,4,130.425,1,0,0
233,23,131.082,1,0,0
146,27,131.217,1,0,0
182,38,131.604,1,0,0
77,221,131.617,0,1,1
76,223,131.931,1,1,1
214,61,132.426,1,0,0
123,63,132.489,1,0,0
210,79,133.051,1,0,0
339,86,133.293,1,0,0
108,87,133.337,1,0,0
240,91,133.474,1,0,0
167,95,133.619,1,0,0
94,96,133.665,1,0,0
94,99,133.754,1,0,0
210,100,133.806,1,0,0
90,102,133.881,1,0,0
250,104,133.93,1,0,0
65,104,133.942,1,0,0
117,107,134.034,1,0,0
126,109,134.108,1,0,0
220,109,134.12,1,0,0
89,112,134.209,1,0,0
151,112,134.229,1,0,0
324,114,134.301,1,0,0
224,117,134.404,1,0,0
227,118,134.434,1,0,0
64,119,134.474,1,0,0
84,120,134.49,1,0,0
222,120,134.504,1,0,0
86,121,134.547,1,0,0
262,124,134.628,1,0,0
283,124,134.638,1,0,0
136,124,134.647,1,0,0
314,68,134.682,1,0,0
205,127,134.749,1,0,0
190,128,134.775,1,0,0
56,129,134.818,1,0,0
64,129,134.823,1,0,0
321,134,134.982,1,0,0
320,134,134.991,1,0,0
192,143,135.309,1,0,0
37,144,135.342,1,0,0
289,144,135.36,1,0,0
36,149,135.51,1,0,0
195,150,135.565,1,0,0
206,151,135.585,1,0,0
37,151,135.591,1,0,0
79,154,135.686,1,0,0
326,155,135.721,1,0,0
321,155,135.74,1,0,0
215,157,135.797,1,0,0
76,221,135.799,0,1,1
210,157,135.813,1,0,0
314,159,135.861,1,0,0
75,160,135.897,1,0,0
121,164,136.047,1,0,0
75,164,136.064,1,0,0
64,166,136.123,1,0,0
76,168,136.184,1,0,0
47,168,136.208,1,0,0
224,171,136.301,1,0,0
224,174,136.39,1,0,0
204,174,136.398,1,0,0
123,175,136.435,1,0,0
47,179,136.582,1,0,0
98,180,136.608,1,0,0
248,184,136.763,1,0,0
62,185,136.778,1,0,0
252,187,136.862,1,0,0
51,190,136.967,1,0,0
203,191,136.992,1,0,0
304,199,137.3,1,0,0
252,200,137.312,1,0,0
256,201,137.35,1,0,0
74,202,137.383,1,0,0
78,221,137.451,0,1,1
200,208,137.607,1,0,0
199,209,137.641,1,0,0
200,210,137.662,1,0,0
74,215,137.853,1,0,0
79,223,138.128,1,1,1
152,225,138.208,1,0,0
146,229,138.333,1,0,0
155,232,138.463,1,0,0
135,238,138.657,1,0,0
203,240,138.722,1,0,0
18,246,138.961,1,0,0
250,247,138.971,1,0,0
113,4,139.696,1,0,0
218,6,139.764,1,0,0
253,6,139.782,1,0,0
170,7,139.8,1,0,0
167,7,139.807,1,0,0
110,7,139.815,1,0,0
166,7,139.826,1,0,0
115,11,139.947,1,0,0
250,13,140.013,1,0,0
214,13,140.027,1,0,0
113,13,140.042,1,0,0
211,14,140.064,1,0,0
300,14,140.065,1,0,0
34,15,140.089,1,0,0
297,17,140.153,1,0,0
236,19,140.23,1,0,0
217,19,140.23,1,0,0
76,20,140.271,1,0,0
299,22,140.336,1,0,0
320,24,140.399,1,0,0
199,24,140.425,1,0,0
130,28,140.563,1,0,0
202,30,140.611,1,0,0
323,30,140.62,1,0,0
324,32,140.681,1,0,0
320,33,140.724,1,0,0
318,35,140.787,1,0,0
215,36,140.823,1,0,0
103,36,140.834,1,0,0
326,37,140.865,1,0,0
62,38,140.898,1,0,0
335,38,140.909,1,0,0
26,39,140.936,1,0,0
200,40,140.963,1,0,0
301,40,140.971,1,0,0
95,44,141.133,1,0,0
169,45,141.141,1,0,0
290,47,141.227,1,0,0
32,48,141.251,1,0,0
144,50,141.318,1,0,0
222,50,141.326,1,0,0
63,51,141.355,1,0,0
175,52,141.409,1,0,0
89,54,141.486,1,0,0
169,55,141.493,1,0,0
269,55,141.519,1,0,0
115,56,141.528,1,0,0
20,57,141.572,1,0,0
111,59,141.637,1,0,0
222,59,141.664,1,0,0
198,60,141.669,1,0,0
193,62,141.741,1,0,0
215,63,141.781,1,0,0
202,63,141.799,1,0,0
53,64,141.83,1,0,0
54,65,141.846,1,0,0
127,66,141.88,1,0,0
336,68,141.959,1,0,0
94,69,141.996,1,0,0
120,71,142.058,1,0,0
255,71,142.066,1,0,0
256,72,142.099,1,0,0
120,72,142.12,1,0,0
343,75,142.207,1,0,0
58,76,142.239,1,0,0
243,76,142.244,1,0,0
173,77,142.278,1,0,0
259,77,142.278,1,0,0
37,78,142.306,1,0,0
245,78,142.331,1,0,0
193,79,142.346,1,0,0
170,80,142.392,1,0,0
9,82,142.472,1,0,0
217,83,142.478,1,0,0
216,84,142.539,1,0,0
301,86,142.61,1,0,0
296,87,142.63,1,0,0
158,87,142.646,1,0,0
67,88,142.656,1,0,0
65,88,142.685,1,0,0
280,91,142.773,1,0,0
106,93,142.841,1,0,0
216,95,142.902,1,0,0
238,95,142.906,1,0,0
327,96,142.943,1,0,0
142,101,143.12,1,0,0
304,101,143.134,1,0,0
141,102,143.157,1,0,0
290,103,143.188,1,0,0
188,104,143.249,1,0,0
151,50,143.304,1,0,0
192,107,143.328,1,0,0
190,108,143.361,1,0,0
253,109,143.424,1,0,0
322,110,143.44,1,0,0
145,110,143.451,1,0,0
123,112,143.505,1,0,0
223,114,143.583,1,0,0
284,115,143.616,1,0,0
243,116,143.647,1,0,0
224,116,143.654,1,0,0
136,118,143.712,1,0,0
244,120,143.788,1,0,0
63,120,143.8,1,0,0
241,123,143.892,1,0,0
118,123,143.911,1,0,0
304,124,143.925,1,0,0
298,124,143.947,1,0,0
300,125,143.964,1,0,0
298,125,143.978,1,0,0
132,126,143.997,1,0,0
299,126,144.017,1,0,0
86,127,144.035,1,0,0
80,127,144.043,1,0,0
297,128,144.08,1,0,0
214,131,144.173,1,0,0
48,131,144.177,1,0,0
47,133,144.252,1,0,0
128,134,144.304,1,0,0
90,135,144.319,1,0,0
257,136,144.352,1,0,0
304,139,144.486,1,0,0
257,141,144.526,1,0,0
259,141,144.544,1,0,0
320,143,144.598,1,0,0
315,143,144.606,1,0,0
235,144,144.632,1,0,0
125,144,144.642,1,0,0
175,149,144.823,1,0,0
238,150,144.852,1,0,0
104,151,144.892,1,0,0
125,154,144.995,1,0,0
288,157,145.09,1,0,0
294,158,145.15,1,0,0
74,159,145.191,1,0,0
189,160,145.202,1,0,0
191,161,145.241,1,0,0
187,164,145.343,1,0,0
302,165,145.373,1,0,0
256,167,145.453,1,0,0
27,168,145.489,1,0,0
24,169,145.541,1,0,0
175,174,145.708,1,0,0
27,175,145.725,1,0,0
95,175,145.732,1,0,0
259,180,145.912,1,0,0
166,182,145.985,1,0,0
94,183,146.009,1,0,0
161,184,146.056,1,0,0
200,184,146.057,1,0,0
112,188,146.191,1,0,0
279,189,146.236,1,0,0
195,190,146.271,1,0,0
168,191,146.296,1,0,0
229,191,146.321,1,0,0
37,192,146.326,1,0,0
178,195,146.437,1,0,0
144,197,146.5,1,0,0
39,198,146.556,1,0,0
225,199,146.6,1,0,0
92,206,146.842,1,0,0
120,209,146.934,1,0,0
123,210,146.971,1,0,0
313,214,147.111,1,0,0
235,214,147.129,1,0,0
122,215,147.15,1,0,0
317,215,147.163,1,0,0
86,216,147.187,1,0,0
274,224,147.464,1,0,0
111,224,147.48,1,0,0
244,230,147.677,1,0,0
103,231,147.7,1,0,0
132,234,147.816,1,0,0
234,236,147.875,1,0,0
77,221,147.954,0,1,1
198,258,148.664,1,0,0
75,222,149.017,1,1,1
76,222,153.704,1,1,1
75,222,163.054,1,1,1
77,221,163.253,0,1,1
76,222,163.959,1,1,1
75,221,164.058,0,1,1
78,221,164.733,0,1,1
79,221,169.165,0,1,1
78,222,169.436,1,1,1
74,222,169.604,1,1,1
256,7,170.512,1,0,0
283,12,170.681,1,0,0
87,15,170.803,1,0,0
267,24,171.111,1,0,0
271,26,171.195,1,0,0
312,27,171.219,1,0,0
273,35,171.506,1,0,0
286,36,171.53,1,0,0
277,38,171.6,1,0,0
116,38,171.606,1,0,0
203,38,171.616,1,0,0
319,42,171.737,1,0,0
263,45,171.857,1,0,0
138,48,171.966,1,0,0
287,53,172.131,1,0,0
252,54,172.171,1,0,0
114,57,172.283,1,0,0
323,59,172.346,1,0,0
308,60,172.383,1,0,0
158,66,172.607,1,0,0
286,68,172.661,1,0,0
15,68,172.678,1,0,0
52,77,172.988,1,0,0
121,81,173.126,1,0,0
248,87,173.326,1,0,0
251,87,173.334,1,0,0
338,91,173.469,1,0,0
127,101,173.822,1,0,0
76,101,173.834,1,0,0
183,109,174.123,1,0,0
194,123,174.598,1,0,0
45,128,174.773,1,0,0
165,136,175.058,1,0,0
189,138,175.129,1,0,0
311,139,175.172,1,0,0
248,148,175.487,1,0,0
81,152,175.623,1,0,0
192,158,175.846,1,0,0
26,166,176.11,1,0,0
273,175,176.446,1,0,0
83,179,176.579,1,0,0
280,184,176.76,1,0,0
189,185,176.798,1,0,0
83,189,176.93,1,0,0
259,195,177.162,1,0,0
150,196,177.192,1,0,0
143,197,177.208,1,0,0
