col0,col1,col2
323,59,172
308,60,172
158,66,172
286,68,172
15,68,172
52,77,172
121,81,173
248,87,173
251,87,173
338,91,173
127,101,173
76,101,173
183,109,174
194,123,174
45,128,174
165,136,175
189,138,175
311,139,175
248,148,175
81,152,175
192,158,175
26,166,176
273,175,176
83,179,176
280,184,176
189,185,176
83,189,176
259,195,177
150,196,177
143,197,177
136,199,177
100,199,177
186,202,177
28,204,177
75,204,177
95,206,177
58,207,177
216,213,177
78,216,177
196,216,177
250,252,179
15,255,179
291,24,180
291,28,180
179,31,180
223,32,180
169,31,180
178,35,180
55,38,180
189,46,181
326,47,181
167,48,181
145,50,181
159,50,181
244,53,181
140,54,181
302,55,181
164,56,181
87,56,181
134,58,181
79,60,181
112,60,181
199,69,181
227,77,182
314,79,182
146,80,182
263,80,182
259,81,182
166,88,182
32,48,182
242,96,182
255,99,183
161,100,183
176,102,183
239,102,183
240,103,183
337,104,183
76,220,183
338,107,183
291,109,183
60,111,183
95,116,183
216,116,183
223,119,183
42,120,183
215,120,183
44,124,183
140,135,184
77,220,184
272,149,184
39,152,184
162,155,185
162,156,185
95,160,185
96,161,185
304,168,185
312,174,185
215,182,185
77,222,186
314,186,186
104,192,186
27,198,186
256,204,186
191,205,186
186,206,186
258,206,186
180,211,187
184,211,187
144,246,188
75,220,192
78,220,202
76,220,210
253,7,210
106,24,211
195,38,211
119,56,212
160,62,212
104,63,212
118,64,212
257,70,212
295,82,213
239,88,213
310,94,213
337,95,213
77,220,213
26,101,213
323,102,213
40,103,213
313,104,213
76,221,213
48,107,214
53,111,214
260,112,214
328,119,214
131,123,214
163,124,214
48,133,214
196,140,215
47,141,215
226,142,215
196,144,215
222,146,215
170,148,215
175,148,215
158,148,215
223,150,215
283,153,215
288,155,215
150,158,215
55,166,216
168,166,216
337,167,216
213,168,216
215,173,216
119,174,216
24,175,216
206,183,216
77,182,216
150,183,216
95,186,216
119,192,217
134,196,217
186,197,217
266,208,217
190,213,217
157,215,217
30,222,218
209,232,218
248,238,218
248,240,218
122,248,219
168,6,219
189,7,219
94,7,219
167,13,220
208,13,220
314,14,220
126,14,220
276,16,220
180,18,220
216,22,220
253,31,220
90,31,220
223,32,220
224,34,220
101,34,220
66,35,220
68,38,220
311,39,220
224,40,220
80,47,221
75,50,221
307,53,221
310,53,221
266,55,221
40,56,221
75,62,221
272,69,221
198,69,221
191,70,222
88,74,222
295,75,222
216,77,222
179,77,222
32,79,222
319,80,222
79,80,222
76,83,222
143,85,222
83,86,222
236,93,222
72,94,222
305,95,222
71,96,222
297,100,223
55,101,223
298,104,223
243,109,223
295,114,223
281,114,223
263,118,223
284,119,223
338,129,224
314,134,224
192,139,224
198,140,224
9,143,224
108,146,224
128,159,225
276,175,225
240,188,226
78,221,226
215,190,226
153,197,226
231,198,226
242,198,226
160,199,226
64,203,226
112,204,226
227,205,226
117,205,226
120,206,226
78,220,226
76,219,226
311,210,226
216,212,227
95,213,227
88,215,227
104,216,227
216,216,227
111,219,227
104,220,227
41,231,227
42,232,227
76,220,227
200,237,227
79,220,229
77,220,229
76,221,230
77,219,234
304,105,239
233,2,250
182,5,250
142,7,250
36,8,250
152,12,250
66,14,250
215,14,250
149,15,250
223,16,250
217,16,250
267,20,250
153,20,250
272,21,251
252,23,251
278,23,251
276,25,251
165,28,251
339,29,251
337,31,251
263,37,251
170,38,251
216,38,251
284,39,251
173,39,251
162,40,251
304,43,251
72,46,251
163,47,251
236,47,251
216,48,251
150,54,252
288,54,252
34,55,252
264,55,252
181,55,252
120,56,252
199,57,252
126,57,252
124,63,252
126,64,252
91,68,252
49,69,252
54,70,252
187,71,252
77,220,252
188,72,252
287,73,252
75,219,252
89,88,253
44,95,253
76,219,253
49,100,253
102,101,253
267,119,254
204,80,254
50,128,254
81,128,254
120,130,254
317,139,255
91,139,255
291,143,255
239,149,255
128,150,255
261,150,255
145,151,255
174,159,255
299,159,255
341,160,255
139,163,256
77,165,256
75,165,256
231,167,256
112,173,256
216,173,256
217,174,256
208,175,256
24,180,256
308,182,256
193,186,256
133,187,256
74,191,257
224,191,257
200,196,257
205,198,257
200,199,257
47,199,257
46,200,257
41,202,257
41,205,257
88,205,257
132,211,257
135,215,257
188,216,257
51,251,259
87,4,259
38,4,259
204,5,259
85,5,259
209,8,259
228,10,259
32,19,260
303,25,260
189,30,260
215,30,260
223,32,260
93,32,260
329,35,260
187,37,260
93,38,260
336,44,261
338,45,261
230,47,261
24,52,261
72,51,261
148,52,261
173,52,261
16,54,261
80,54,261
19,54,261
151,55,261
32,56,261
144,58,261
78,219,261
167,61,261
271,62,261
88,64,261
309,66,261
331,68,261
134,69,262
168,70,262
270,71,262
333,72,262
38,72,262
172,74,262
252,77,262
185,78,262
42,78,262
209,79,262
168,84,262
119,85,262
12,86,262
17,86,262
66,86,262
100,87,262
147,87,262
342,88,262
257,91,262
187,91,262
69,92,262
337,93,262
304,94,262
66,96,262
109,96,262
92,99,263
238,100,263
77,220,263
190,101,263
186,102,263
67,104,263
73,106,263
68,108,263
203,110,263
170,111,263
291,115,263
215,118,263
155,119,263
152,119,263
114,127,264
287,128,264
296,130,264
132,131,264
281,132,264
56,133,264
312,135,264
134,135,264
292,147,264
293,148,264
178,148,264
183,155,265
192,156,265
318,159,265
253,160,265
251,164,265
254,164,265
143,165,265
110,166,265
23,171,265
263,176,265
260,178,265
176,183,266
284,189,266
59,195,266
311,196,266
124,198,266
58,199,266
218,200,266
69,206,266
68,206,266
224,207,266
220,208,266
182,208,266
64,210,266
66,213,267
232,221,267
180,228,267
142,238,267
118,240,268
263,245,268
253,248,268
262,254,268
51,254,268
77,220,275
78,220,276
76,220,276
76,219,278
75,220,279
78,219,289
79,221,290
79,220,290
228,5,290
225,8,290
231,9,290
79,219,290
220,29,291
169,30,291
311,32,291
64,48,291
66,55,292
305,63,292
134,79,293
222,83,293
151,90,293
32,48,293
164,103,293
254,104,293
255,107,294
222,108,294
218,109,294
72,111,294
280,112,294
311,114,294
224,114,294
266,121,294
296,133,294
75,218,294
250,135,295
55,136,295
54,139,295
167,146,295
112,155,295
299,155,295
273,159,295
183,162,295
254,172,296
71,175,296
113,180,296
35,197,297
202,199,297
146,207,297
272,215,297
142,220,298
211,4,299
319,5,299
64,7,299
68,8,299
48,8,299
50,12,299
149,12,299
103,14,300
291,16,300
293,19,300
208,20,300
144,20,300
267,22,300
287,22,300
287,23,300
232,24,300
240,25,300
32,26,300
305,29,300
239,30,300
335,31,300
183,31,300
310,32,300
323,35,300
133,37,300
134,38,300
130,38,300
38,38,300
319,39,300
234,39,300
260,39,300
155,40,300
72,44,301
62,45,301
215,46,301
339,46,301
256,47,301
74,47,301
38,50,301
18,53,301
188,58,301
185,58,301
169,59,301
64,66,301
62,67,301
98,67,301
252,67,301
192,68,301
340,68,301
304,69,301
308,71,302
63,72,302
180,74,302
338,75,302
135,76,302
175,77,302
176,77,302
111,84,302
105,84,302
256,85,302
101,86,302
254,87,302
215,91,302
282,99,303
125,99,303
282,101,303
106,103,303
276,104,303
208,106,303
156,106,303
273,107,303
176,108,303
142,109,303
85,111,303
80,115,303
198,118,303
173,118,303
234,119,303
76,120,303
263,122,303
262,124,303
91,124,303
215,127,304
110,131,304
64,131,304
166,132,304
84,133,304
78,134,304
265,134,304
168,140,304
179,143,304
48,144,304
160,146,304
301,146,304
276,149,304
80,152,304
279,152,304
274,154,305
61,157,305
159,158,305
210,158,305
216,158,305
214,159,305
193,162,305
105,165,305
30,165,305
131,165,305
31,166,305
90,168,305
109,168,305
295,173,305
107,175,305
103,176,305
102,178,305
98,179,305
104,180,305
343,182,305
193,182,306
100,187,306
59,188,306
299,192,306
301,196,306
72,206,306
228,207,306
264,208,306
120,218,307
134,227,307
118,234,307
77,218,311
76,220,311
80,218,329
68,6,330
221,14,330
133,23,331
169,26,331
337,42,331
151,48,331
24,51,332
219,55,332
144,55,332
135,60,332
190,62,332
189,63,332
312,77,332
63,79,333
61,80,333
312,80,333
244,83,333
135,86,333
64,86,333
248,94,333
120,95,333
119,95,333
56,101,333
279,106,333
68,115,334
65,116,334
77,219,335
76,218,335
128,145,335
45,152,335
264,155,335
75,218,335
187,167,336
260,168,336
264,184,336
189,186,336
144,196,337
98,200,337
111,216,337
192,222,338
160,224,338
98,247,338
78,219,339
304,6,339
310,7,339
249,8,339
71,10,339
244,10,339
242,12,339
120,13,340
115,13,340
127,15,340
202,15,340
191,15,340
271,16,340
181,22,340
163,23,340
293,24,340
162,24,340
213,27,340
332,27,340
164,28,340
223,32,340
90,40,340
248,40,340
24,52,341
159,53,341
136,54,341
279,59,341
116,70,342
317,77,342
267,84,342
268,85,342
175,86,342
157,88,342
32,48,342
76,94,342
151,50,343
236,99,343
235,103,343
253,108,343
71,110,343
63,110,343
149,112,343
239,118,343
50,119,343
112,125,343
105,127,344
113,128,344
228,131,344
48,134,344
126,134,344
39,136,344
199,136,344
282,141,344
160,143,344
247,144,344
244,147,344
324,149,344
192,150,344
157,151,344
156,151,344
280,156,345
214,157,345
279,158,345
220,163,345
220,167,345
51,167,345
175,168,345
181,168,345
174,172,345
176,175,345
108,179,345
338,182,345
280,182,345
95,184,346
238,184,346
94,185,346
243,188,346
314,188,346
158,195,346
125,198,346
258,198,346
180,200,346
264,200,346
67,202,346
177,207,346
181,208,346
206,209,346
181,214,347
87,214,347
153,215,347
160,215,347
200,224,347
75,219,352
77,218,353
78,218,355
78,219,359
311,14,370
247,16,370
133,18,370
239,21,370
232,21,371
247,24,371
75,218,371
149,38,371
184,42,371
76,217,372
311,55,372
12,56,372
216,59,372
261,78,373
174,83,373
75,217,373
74,85,373
119,88,373
115,91,373
167,101,373
296,107,374
301,111,374
264,112,374
205,116,374
279,122,374
159,132,374
55,144,375
217,147,375
315,152,375
215,158,375
61,159,375
311,160,375
319,160,375
312,161,375
304,162,375
312,166,376
190,166,376
125,168,376
204,174,376
46,174,376
182,177,376
239,183,376
104,187,376
105,199,377
137,201,377
205,206,377
223,210,377
47,211,377
52,213,377
66,215,377
78,218,378
211,229,378
317,3,379
80,3,379
99,4,379
103,6,379
272,6,379
312,8,379
103,12,379
216,13,380
220,14,380
140,14,380
251,16,380
318,19,380
154,19,380
229,20,380
250,22,380
267,23,380
295,26,380
207,28,380
60,28,380
265,29,380
325,30,380
319,30,380
285,31,380
63,32,380
218,34,380
101,36,380
98,36,380
220,36,380
56,37,380
124,38,380
221,39,380
300,39,380
196,40,380
173,43,381
81,44,381
39,47,381
122,48,381
331,54,381
119,55,381
24,55,381
171,56,381
175,57,381
19,58,381
24,61,381
80,62,381
127,63,381
157,70,382
157,72,382
232,72,382
158,74,382
239,79,382
167,83,382
181,84,382
319,84,382
122,84,382
165,85,382
174,86,382
344,95,382
207,95,382
250,99,383
252,99,383
272,102,383
32,48,383
114,109,383
90,113,383
298,133,384
48,135,384
76,218,384
340,141,384
303,142,384
263,143,384
296,144,384
206,148,384
213,148,384
258,151,384
326,152,384
272,152,384
262,152,384
302,156,385
79,218,385
145,157,385
296,158,385
116,160,385
148,160,385
129,163,385
119,163,385
333,167,385
217,172,385
202,173,385
246,174,385
118,180,385
298,181,385
207,182,385
139,183,386
164,184,386
146,184,386
241,188,386
142,189,386
180,189,386
146,190,386
44,191,386
219,192,386
287,194,386
90,198,386
137,206,386
80,219,387
176,231,387
193,240,388
196,241,388
2,252,388
2,254,388
78,217,405
77,218,409
237,8,410
206,13,410
184,19,410
281,32,411
202,44,411
282,45,411
129,46,411
127,48,411
165,58,412
161,59,412
162,64,412
338,79,413
55,80,413
333,98,413
328,99,413
329,103,413
256,110,414
257,111,414
278,113,414
241,116,414
275,116,414
136,118,414
260,120,414
143,124,414
143,131,414
328,134,414
111,139,415
75,141,415
142,151,415
315,159,415
152,160,415
145,161,415
127,164,416
251,180,416
40,190,416
46,192,417
48,194,417
156,199,417
53,200,417
337,202,417
26,208,417
140,215,417
154,215,417
256,230,418
266,239,418
240,4,419
166,4,419
233,5,419
62,9,419
69,14,420
212,23,420
177,27,420
290,28,420
128,29,420
223,32,420
51,32,420
192,36,420
106,38,420
268,39,420
199,40,420
152,44,421
175,47,421
96,47,421
103,48,421
30,48,421
98,51,421
24,52,421
226,53,421
287,54,421
279,55,421
280,56,421
61,56,421
59,61,421
186,62,421
172,62,421
221,63,421
180,64,421
280,64,421
177,67,421
15,78,422
139,79,422
16,79,422
292,91,422
267,93,422
327,100,423
276,102,423
87,103,423
160,108,423
232,110,423
192,113,423
175,114,423
199,115,423
216,115,423
51,117,423
218,118,423
297,118,423
60,119,423
135,119,423
222,120,423
60,120,423
59,120,423
264,124,423
78,218,424
231,126,424
171,127,424
217,127,424
279,128,424
214,131,424
208,133,424
216,134,424
47,136,424
289,137,424
214,142,424
45,142,424
273,146,424
142,147,424
24,90,424
274,151,424
14,152,424
239,156,425
272,159,425
223,160,425
32,163,425
163,168,425
163,169,425
153,170,425
76,174,425
171,190,426
270,200,426
23,203,426
31,206,426
111,208,426
132,214,427
136,220,427
205,224,427
222,226,427
200,227,427
199,230,427
272,236,427
297,249,428
75,218,430
32,48,431
76,218,435
78,218,442
77,218,443
78,217,445
79,217,446
79,11,450
179,16,450
239,19,450
183,21,451
231,24,451
104,25,451
192,30,451
191,32,451
180,62,452
115,67,452
295,67,452
294,68,452
293,69,452
289,69,452
62,69,452
59,72,452
182,78,453
303,79,453
225,88,453
251,89,453
250,90,453
249,91,453
237,93,453
229,95,453
176,102,453
221,103,453
178,104,453
159,115,454
306,124,454
217,131,454
55,132,454
173,136,455
169,143,455
283,149,455
139,150,455
66,153,455
168,168,456
163,184,456
276,192,457
321,195,457
326,196,457
222,197,457
115,205,457
232,206,457
109,207,457
238,208,457
324,212,457
286,214,457
285,224,458
178,225,458
154,227,458
55,230,458
168,231,458
326,240,458
32,48,459
168,3,459
208,3,459
247,4,459
226,4,459
239,5,459
211,5,459
55,7,459
272,8,459
223,10,459
266,12,459
218,13,460
215,15,460
213,15,460
33,20,460
340,21,460
34,24,460
137,25,460
36,26,460
338,27,460
28,30,460
135,32,460
86,39,460
53,40,460
256,45,461
51,48,461
287,50,461
313,51,461
143,54,461
116,54,461
263,55,461
54,56,461
197,59,461
191,60,461
55,61,461
191,62,461
84,70,462
88,71,462
199,71,462
289,72,462
88,73,462
144,77,462
296,80,462
302,85,462
298,85,462
246,86,462
295,87,462
15,91,462
234,93,462
253,100,463
248,102,463
109,103,463
191,103,463
108,103,463
205,106,463
200,107,463
103,107,463
292,109,463
143,111,463
172,114,463
230,118,463
234,122,463
238,125,463
292,131,464
312,132,464
153,134,464
121,135,464
155,135,464
223,136,464
73,140,464
292,142,464
236,144,464
236,146,464
157,146,464
56,147,464
152,149,464
120,151,464
235,151,464
158,152,464
230,155,465
216,159,465
157,159,465
195,160,465
29,160,465
274,164,465
264,166,465
196,167,465
240,167,465
245,168,465
162,174,465
237,175,465
232,176,465
216,176,465
217,177,465
231,182,465
68,183,466
235,184,466
110,186,466
125,186,466
282,195,466
219,198,466
83,200,466
111,202,466
120,205,466
88,206,466
104,206,466
80,207,466
302,207,466
206,207,466
160,208,466
119,208,466
168,209,466
119,210,466
162,214,467
174,215,467
184,215,467
132,216,467
166,216,467
191,218,467
126,219,467
162,230,467
21,237,467
237,240,468
103,0,479
79,218,479
129,13,490
297,29,491
71,31,491
318,31,491
283,36,491
195,40,491
215,47,491
109,48,491
201,53,492
34,58,492
143,63,492
298,71,492
176,74,492
101,82,493
96,83,493
207,90,493
304,92,493
109,102,493
271,111,494
152,112,494
251,112,494
92,114,494
153,116,494
133,118,494
210,119,494
206,121,494
99,124,494
239,124,494
67,124,494
201,128,494
205,132,494
146,132,494
320,135,495
294,148,495
248,150,495
99,151,495
328,156,495
199,160,495
198,162,495
225,166,496
200,167,496
192,168,496
289,172,496
289,173,496
236,173,496
273,174,496
95,175,496
341,176,496
109,180,496
47,183,496
86,184,496
112,188,496
220,189,496
314,192,497
296,194,497
248,194,497
79,196,497
239,198,497
86,198,497
44,199,497
39,204,497
42,205,497
151,206,497
128,207,497
47,208,497
23,208,497
48,210,497
263,212,497
234,214,497
300,216,497
298,217,497
235,231,498
166,232,498
200,236,498
251,256,499
207,6,499
161,7,499
274,8,499
146,14,500
49,16,500
