source_file,copied_file,class,is_duplicated,target_ratio,actual_ratio
train_059.npz,train_059.npz,structured_background,false,0.4,0.3939393939393939
train_060.npz,train_060.npz,structured_background,false,0.4,0.3939393939393939
train_062.npz,train_062.npz,structured_background,false,0.4,0.3939393939393939
train_067.npz,train_067.npz,structured_background,false,0.4,0.3939393939393939
train_068.npz,train_068.npz,structured_background,false,0.4,0.3939393939393939
train_069.npz,train_069.npz,structured_background,false,0.4,0.3939393939393939
train_070.npz,train_070.npz,structured_background,false,0.4,0.3939393939393939
train_071.npz,train_071.npz,structured_background,false,0.4,0.3939393939393939
train_074.npz,train_074.npz,structured_background,false,0.4,0.3939393939393939
train_076.npz,train_076.npz,structured_background,false,0.4,0.3939393939393939
train_081.npz,train_081.npz,structured_background,false,0.4,0.3939393939393939
train_082.npz,train_082.npz,structured_background,false,0.4,0.3939393939393939
train_083.npz,train_083.npz,structured_background,false,0.4,0.3939393939393939
train_085.npz,train_085.npz,structured_background,false,0.4,0.3939393939393939
train_086.npz,train_086.npz,structured_background,false,0.4,0.3939393939393939
train_087.npz,train_087.npz,structured_background,false,0.4,0.3939393939393939
train_000.npz,train_000__dup01.npz,structured_background,true,0.4,0.3939393939393939
train_001.npz,train_001__dup01.npz,structured_background,true,0.4,0.3939393939393939
train_004.npz,train_004__dup01.npz,structured_background,true,0.4,0.3939393939393939
train_005.npz,train_005__dup01.npz,structured_background,true,0.4,0.3939393939393939
train_014.npz,train_014__dup01.npz,structured_background,true,0.4,0.3939393939393939
train_015.npz,train_015__dup01.npz,structured_background,true,0.4,0.3939393939393939
train_063.npz,train_063.npz,uniform_background,false,0.25,0.25252525252525254
train_011.npz,train_011.npz,uniform_background,false,0.25,0.25252525252525254
train_079.npz,train_079.npz,uniform_background,false,0.25,0.25252525252525254
train_002.npz,train_002.npz,uniform_background,false,0.25,0.25252525252525254
train_017.npz,train_017.npz,uniform_background,false,0.25,0.25252525252525254
train_043.npz,train_043.npz,uniform_background,false,0.25,0.25252525252525254
train_065.npz,train_065.npz,uniform_background,false,0.25,0.25252525252525254
train_050.npz,train_050.npz,uniform_background,false,0.25,0.25252525252525254
train_018.npz,train_018.npz,uniform_background,false,0.25,0.25252525252525254
train_077.npz,train_077.npz,uniform_background,false,0.25,0.25252525252525254
train_010.npz,train_010.npz,uniform_background,false,0.25,0.25252525252525254
train_020.npz,train_020.npz,uniform_background,false,0.25,0.25252525252525254
train_084.npz,train_084.npz,uniform_background,false,0.25,0.25252525252525254
train_009.npz,train_009.npz,uniform_background,false,0.25,0.25252525252525254
train_008.npz,train_008.npz,uniform_background,false,0.25,0.25252525252525254
train_021.npz,train_021.npz,uniform_background,false,0.25,0.25252525252525254
train_053.npz,train_053.npz,uniform_background,false,0.25,0.25252525252525254
train_052.npz,train_052.npz,uniform_background,false,0.25,0.25252525252525254
train_026.npz,train_026.npz,uniform_background,false,0.25,0.25252525252525254
train_080.npz,train_080.npz,uniform_background,false,0.25,0.25252525252525254
train_064.npz,train_064.npz,uniform_background,false,0.25,0.25252525252525254
train_040.npz,train_040.npz,uniform_background,false,0.25,0.25252525252525254
train_012.npz,train_012.npz,uniform_background,false,0.25,0.25252525252525254
train_072.npz,train_072.npz,uniform_background,false,0.25,0.25252525252525254
train_066.npz,train_066.npz,uniform_background,false,0.25,0.25252525252525254
