sample_index,file,class,class_reason,event_count_used,target_event_ratio,prediction_positive_ratio,background_false_positive_ratio,target_true_positive_ratio,spatial_concentration,temporal_concentration,structure_score
38,train_038.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,17867,0.19398891811719932,0.18710471819555605,0.006527324491354767,0.9373918061165609,0.9885457931267987,0.17369671208901105,0.5811212526079048
39,train_039.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.23325,0.2279,0.012324747310074992,0.9365487674169346,0.9749376497628246,0.24237673830594175,0.6086571940343832
40,train_040.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0337,0.0254,0.000517437648763324,0.7388724035608308,0.3261637458926615,0.1490726817042607,0.2376182137984611
41,train_041.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0514,0.0405,0.000843348091924942,0.7723735408560312,0.35464254577157794,0.3513149536272392,0.35297874969940857
42,train_042.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0385,0.0316,0.0016120644825793032,0.7805194805194805,0.8347313237221495,0.14273686855993972,0.4887340961410446
43,train_043.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.051,0.04235,0.0011591148577449948,0.8088235294117647,0.571320564516129,0.14384516129032265,0.35758286290322583
44,train_044.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.00935,0.0053,0.002775955180941806,0.2727272727272727,0.4474259118541033,0.16271186440677965,0.3050688881304415
45,train_045.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.01745,0.04895,0.04091394839957254,0.501432664756447,0.855091103965702,0.20773854244928602,0.531414823207494
46,train_046.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0158,0.0456,0.04003251371672424,0.3924050632911392,0.8775961317061939,0.17875219243297424,0.5281741620695841
47,train_047.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.00745,0.0425,0.04030023676389099,0.33557046979865773,0.9993489583333334,0.2792115143929912,0.6392802363631622
48,train_048.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.18515,0.1678,0.004356630054611278,0.8871185525249797,0.531807372175981,0.19821115836877656,0.36500926527237876
49,train_049.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.2057,0.18705,0.00616895379579504,0.885512882839086,0.5832474226804124,0.2580040020010005,0.42062571234070645
50,train_050.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,18300,0.12256830601092897,0.11005464480874316,0.0029270723049137446,0.8769505127061971,0.4704440782524191,0.1587793896948475,0.3146117339736333
51,train_051.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,18574,0.09954775492624099,0.08931840206740606,0.0033482810164424514,0.866955110870741,0.6380215053763436,0.13394197098549276,0.3859817381809182
52,train_052.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,17631,0.10192274970222903,0.08615506777834496,0.0010736390046734874,0.8358375069560379,0.40627060439560425,0.1460325406758448,0.27615157253572453
53,train_053.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,17763,0.08393852389799021,0.07431177166019254,0.001720747295968535,0.8665325285043595,0.3867060260586317,0.18077115673510236,0.283738591396867
54,train_054.npz,structured_background,higher spatial/temporal concentration among remaining samples,12322,0.09576367472812855,0.08602499594221717,0.0028720157960868786,0.8711864406779661,0.6885393451054346,0.2593161736457933,0.47392775937561393
55,train_055.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.2071,0.1838,0.0023332072140244673,0.8785610816030903,0.7110508757297749,0.32701688555347097,0.5190338806416229
56,train_056.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.1185,0.10345,0.007033465683494044,0.820675105485232,0.5591014492753623,0.19262407800975112,0.3758627636425567
57,train_057.npz,structured_background,higher spatial/temporal concentration among remaining samples,18076,0.15971453861473778,0.14522018145607435,0.0032260188294160248,0.8922757187391757,0.7521141649048626,0.37150012521913345,0.561807145061998
58,train_058.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,14707,0.09981641395253961,0.09152104440062556,0.004078857919782461,0.8801089918256131,0.8011130136986302,0.3647490820073439,0.582931047852987
59,train_059.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0202,0.0153,0.00020412329046744235,0.7475247524752475,0.9697509936871639,0.38429075333837237,0.6770208735127681
60,train_060.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.02875,0.02345,0.0006177606177606178,0.7947826086956522,0.9585465040010495,0.2961939454842356,0.6273702247426425
61,train_061.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0303,0.03265,0.007889037846756729,0.8250825082508251,0.7646863189720333,0.22885073317458315,0.49676852607330824
62,train_062.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0591,0.04445,0.0009565309809756616,0.7368866328257191,0.5428285912560722,0.2812507848800704,0.4120396880680713
63,train_063.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0428,0.03095,0.0010447137484329294,0.6997663551401869,0.43798387096774194,0.21175281182863648,0.3248683413981892
64,train_064.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.06395,0.0536,0.0016024785000801239,0.8146989835809226,0.5357001433740699,0.18178046020369676,0.35874030178888333
65,train_065.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.04675,0.0355,0.000996590611067401,0.7390374331550802,0.4715814824725717,0.19270520520520518,0.33214334383888844
66,train_066.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0664,0.0566,0.000856898029134533,0.8403614457831325,0.23935091277890463,0.17674854288093256,0.2080497278299186
67,train_067.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0746,0.063,0.0014047979252215259,0.8270777479892761,0.8156375415663338,0.1685917721518988,0.4921146568591163
68,train_068.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0895,0.0756,0.0014827018121911038,0.8296089385474861,0.5845580266181125,0.2211507191994997,0.4028543729088061
69,train_069.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.01035,0.0105,0.0028798059920173797,0.7391304347826086,0.861447915063856,0.18251218886322818,0.521980051963542
70,train_070.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0147,0.00915,0.0014716330051760885,0.5238095238095238,0.9037923926053996,0.11640960809102407,0.5101010003482118
71,train_071.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.06385,0.05105,0.0026705122042407735,0.7603758809710258,0.6573233320173707,0.2353606433777331,0.4463419876975519
72,train_072.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.12645,0.1113,0.0036632133249384696,0.8548833531039937,0.5579501915708813,0.14439304913114137,0.35117162035101135
73,train_073.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.1942,0.17115,0.004219409282700422,0.8638002059732235,0.5374739764052741,0.15410205102551278,0.3457880137153934
74,train_074.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.3662,0.34845,0.002366677185231934,0.9474330966684872,0.7142539841190516,0.6121947695419737,0.6632243768305126
75,train_075.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,7511,0.1866595659699108,0.1622953002263347,0.002128007857259781,0.8601997146932953,0.5086002742116416,0.18691191191191192,0.34775609306177674
76,train_076.npz,structured_background,higher spatial/temporal concentration among remaining samples,7537,0.1975587103622131,0.17168634735305824,0.0018187830687830687,0.8616521155137676,0.5978907962016071,0.22039769884942473,0.4091442475255159
77,train_077.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,7719,0.19134602927840394,0.1697111024744138,0.00256328099967959,0.8761002031144212,0.4731578947368421,0.21177354709418827,0.3424657209155152
78,train_078.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,7814,0.20859994880982852,0.18223701049398516,0.0014553686934023287,0.8680981595092024,0.4774030501089326,0.18107227859200803,0.3292376643504703
79,train_079.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,7372,0.17227346717308736,0.15029842647856756,0.0024582104228121925,0.8606299212598425,0.616694214876033,0.1167250437828371,0.36670962932943507
80,train_080.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,7230,0.1847856154910097,0.15435684647302905,0.0027146250424160165,0.8233532934131736,0.252892561983471,0.1663177178749019,0.20960513992918645
81,train_081.npz,structured_background,higher spatial/temporal concentration among remaining samples,8964,0.3099062918340027,0.284359660865685,0.003556417717426447,0.9096472282217423,0.4601051122790253,0.5078502566670839,0.4839776844730546
82,train_082.npz,structured_background,higher spatial/temporal concentration among remaining samples,8452,0.26751064836725036,0.24727875059157595,0.003392020675173639,0.9150818222025653,0.9286085150571132,0.1781481017416363,0.5533783083993747
83,train_083.npz,structured_background,higher spatial/temporal concentration among remaining samples,8222,0.22987107759669181,0.20700559474580393,0.001421351863550221,0.8957671957671958,0.8861672294397069,0.35483588073164607,0.6205015550856765
84,train_084.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,8417,0.2441487465842937,0.22359510514435071,0.00031436655139893113,0.9148418491484185,0.48567119155354443,0.28466157888152144,0.38516638521753294
85,train_085.npz,structured_background,higher spatial/temporal concentration among remaining samples,7724,0.23912480580010356,0.21737441740031072,0.0015313935681470138,0.9041689225771521,0.8982766509074271,0.15433366733466947,0.5263051591210484
86,train_086.npz,structured_background,higher spatial/temporal concentration among remaining samples,8547,0.28220428220428223,0.25506025506025504,0.001466992665036675,0.9000829187396352,0.82081881533101,0.41296018031555215,0.6168894978232811
87,train_087.npz,structured_background,higher spatial/temporal concentration among remaining samples,8654,0.3249364455743009,0.298936907788306,0.0015405682985279014,0.9167852062588905,0.9314919314919314,0.15305305305305306,0.5422724922724922
88,train_088.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0123,0.10065,0.10094158145185785,0.07723577235772358,0.5386734693877552,0.18639319659829923,0.3625333329930272
89,train_089.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0073,0.1039,0.10380779691749774,0.11643835616438356,0.5493585174625801,0.18723404255319154,0.36829628000788583
90,train_090.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0066,0.1007,0.09980873766861284,0.23484848484848486,0.554741526874358,0.19459729864932462,0.3746694127618413
91,train_091.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0088,0.09995,0.09987893462469734,0.10795454545454546,0.5470810779349282,0.19201201953173896,0.3695465487333336
92,train_092.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.01265,0.10315,0.10117992606471869,0.25691699604743085,0.5336170212765958,0.2019009504752376,0.3677589858759167
93,train_093.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.00945,0.10135,0.1005501993841805,0.18518518518518517,0.5663768115942027,0.19534767383691842,0.3808622427155606
94,train_094.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0106,0.10205,0.09899939357186173,0.3867924528301887,0.5508671893561415,0.19459729864932462,0.3727322440027331
95,train_095.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0061,0.09295,0.09186034812355368,0.27049180327868855,0.5767869733087124,0.21624637357732646,0.39651667344301944
96,train_096.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.01285,0.1018,0.09937699437775414,0.28793774319066145,0.5697823341593595,0.19334667333666833,0.38156450374801393
97,train_097.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0112,0.09845,0.09693567961165049,0.23214285714285715,0.5546274323682961,0.1896396396396396,0.37213353600396787
98,train_098.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.00595,0.1033,0.10296262763442483,0.15966386554621848,0.5891624273255813,0.20110123889375553,0.39513183310966843
