split,stem,source_npz,image_path,mask_path,map_path,width,height,event_count,positive_event_count,positive_pixel_count,status,message
train,train_011,/root/EV-UAV-dataset/train/train_011.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_011.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_011_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_011_pixel_event_map.npz,346,260,55848,1894,761,ok,
train,train_012,/root/EV-UAV-dataset/train/train_012.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_012.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_012_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_012_pixel_event_map.npz,346,260,56081,1853,627,ok,
train,train_013,/root/EV-UAV-dataset/train/train_013.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_013.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_013_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_013_pixel_event_map.npz,346,260,57557,2667,897,ok,
train,train_014,/root/EV-UAV-dataset/train/train_014.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_014.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_014_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_014_pixel_event_map.npz,346,260,59011,3465,1008,ok,
train,train_015,/root/EV-UAV-dataset/train/train_015.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_015.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_015_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_015_pixel_event_map.npz,346,260,25255,1240,488,ok,
train,train_016,/root/EV-UAV-dataset/train/train_016.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_016.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_016_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_016_pixel_event_map.npz,346,260,25111,1481,632,ok,
train,train_017,/root/EV-UAV-dataset/train/train_017.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_017.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_017_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_017_pixel_event_map.npz,346,260,25232,1873,740,ok,
train,train_018,/root/EV-UAV-dataset/train/train_018.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_018.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_018_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_018_pixel_event_map.npz,346,260,23457,1601,672,ok,
train,train_019,/root/EV-UAV-dataset/train/train_019.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_019.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_019_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_019_pixel_event_map.npz,346,260,22312,737,421,ok,
train,train_020,/root/EV-UAV-dataset/train/train_020.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_020.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_020_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_020_pixel_event_map.npz,346,260,23042,890,481,ok,
train,train_021,/root/EV-UAV-dataset/train/train_021.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_021.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_021_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_021_pixel_event_map.npz,346,260,22246,2034,857,ok,
train,train_022,/root/EV-UAV-dataset/train/train_022.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_022.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_022_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_022_pixel_event_map.npz,346,260,21165,715,328,ok,
train,train_023,/root/EV-UAV-dataset/train/train_023.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_023.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_023_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_023_pixel_event_map.npz,346,260,22268,1881,696,ok,
train,train_024,/root/EV-UAV-dataset/train/train_024.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_024.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_024_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_024_pixel_event_map.npz,346,260,21547,1538,645,ok,
train,train_025,/root/EV-UAV-dataset/train/train_025.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_025.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_025_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_025_pixel_event_map.npz,346,260,20673,1305,614,ok,
train,train_026,/root/EV-UAV-dataset/train/train_026.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_026.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_026_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_026_pixel_event_map.npz,346,260,21416,1062,548,ok,
train,train_027,/root/EV-UAV-dataset/train/train_027.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_027.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_027_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_027_pixel_event_map.npz,346,260,21238,1260,573,ok,
train,train_028,/root/EV-UAV-dataset/train/train_028.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_028.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_028_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_028_pixel_event_map.npz,346,260,56395,2600,771,ok,
train,train_029,/root/EV-UAV-dataset/train/train_029.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_029.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_029_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_029_pixel_event_map.npz,346,260,59392,3822,973,ok,
train,train_030,/root/EV-UAV-dataset/train/train_030.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_030.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_030_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_030_pixel_event_map.npz,346,260,54775,4752,1281,ok,
train,train_031,/root/EV-UAV-dataset/train/train_031.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_031.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_031_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_031_pixel_event_map.npz,346,260,61472,2999,547,ok,
train,train_032,/root/EV-UAV-dataset/train/train_032.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_032.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_032_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_032_pixel_event_map.npz,346,260,30017,3242,1034,ok,
train,train_033,/root/EV-UAV-dataset/train/train_033.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_033.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_033_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_033_pixel_event_map.npz,346,260,26806,3869,1224,ok,
train,train_034,/root/EV-UAV-dataset/train/train_034.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_034.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_034_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_034_pixel_event_map.npz,346,260,20849,4020,1273,ok,
train,train_035,/root/EV-UAV-dataset/train/train_035.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_035.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_035_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_035_pixel_event_map.npz,346,260,19075,4133,920,ok,
train,train_036,/root/EV-UAV-dataset/train/train_036.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_036.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_036_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_036_pixel_event_map.npz,346,260,18486,3767,1078,ok,
train,train_037,/root/EV-UAV-dataset/train/train_037.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_037.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_037_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_037_pixel_event_map.npz,346,260,20914,3406,849,ok,
train,train_038,/root/EV-UAV-dataset/train/train_038.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_038.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_038_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_038_pixel_event_map.npz,346,260,17867,3466,904,ok,
train,train_039,/root/EV-UAV-dataset/train/train_039.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_039.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_039_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_039_pixel_event_map.npz,346,260,20340,4747,1127,ok,
train,train_040,/root/EV-UAV-dataset/train/train_040.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_040.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_040_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_040_pixel_event_map.npz,346,260,44502,1574,735,ok,
train,train_041,/root/EV-UAV-dataset/train/train_041.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_041.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_041_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_041_pixel_event_map.npz,346,260,44937,2353,951,ok,
train,train_042,/root/EV-UAV-dataset/train/train_042.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_042.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_042_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_042_pixel_event_map.npz,346,260,43563,1652,774,ok,
train,train_043,/root/EV-UAV-dataset/train/train_043.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_043.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_043_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_043_pixel_event_map.npz,346,260,44220,2192,971,ok,
train,train_044,/root/EV-UAV-dataset/train/train_044.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_044.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_044_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_044_pixel_event_map.npz,346,260,297725,2753,1137,ok,
train,train_045,/root/EV-UAV-dataset/train/train_045.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_045.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_045_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_045_pixel_event_map.npz,346,260,278956,5092,1847,ok,
train,train_046,/root/EV-UAV-dataset/train/train_046.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_046.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_046_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_046_pixel_event_map.npz,346,260,272501,4322,1425,ok,
train,train_047,/root/EV-UAV-dataset/train/train_047.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_047.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_047_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_047_pixel_event_map.npz,346,260,252604,1841,947,ok,
train,train_048,/root/EV-UAV-dataset/train/train_048.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_048.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_048_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_048_pixel_event_map.npz,346,260,20433,3793,1100,ok,
train,train_049,/root/EV-UAV-dataset/train/train_049.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_049.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_049_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_049_pixel_event_map.npz,346,260,22833,4674,1525,ok,
train,train_050,/root/EV-UAV-dataset/train/train_050.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_050.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_050_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_050_pixel_event_map.npz,346,260,18300,2243,951,ok,
train,train_051,/root/EV-UAV-dataset/train/train_051.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_051.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_051_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_051_pixel_event_map.npz,346,260,18574,1849,908,ok,
train,train_052,/root/EV-UAV-dataset/train/train_052.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_052.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_052_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_052_pixel_event_map.npz,346,260,17631,1797,1130,ok,
train,train_053,/root/EV-UAV-dataset/train/train_053.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_053.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_053_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_053_pixel_event_map.npz,346,260,17763,1491,865,ok,
train,train_054,/root/EV-UAV-dataset/train/train_054.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_054.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_054_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_054_pixel_event_map.npz,346,260,12322,1180,679,ok,
train,train_055,/root/EV-UAV-dataset/train/train_055.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_055.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_055_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_055_pixel_event_map.npz,346,260,20090,4162,1999,ok,
train,train_056,/root/EV-UAV-dataset/train/train_056.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_056.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_056_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_056_pixel_event_map.npz,346,260,24294,2890,1744,ok,
train,train_057,/root/EV-UAV-dataset/train/train_057.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_057.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_057_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_057_pixel_event_map.npz,346,260,18076,2887,1589,ok,
train,train_058,/root/EV-UAV-dataset/train/train_058.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_058.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_058_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_058_pixel_event_map.npz,346,260,14707,1468,813,ok,
train,train_059,/root/EV-UAV-dataset/train/train_059.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_059.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_059_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_059_pixel_event_map.npz,346,260,44257,888,362,ok,
train,train_060,/root/EV-UAV-dataset/train/train_060.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_060.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_060_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_060_pixel_event_map.npz,346,260,43606,1229,456,ok,
train,train_061,/root/EV-UAV-dataset/train/train_061.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_061.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_061_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_061_pixel_event_map.npz,346,260,43318,1294,469,ok,
train,train_062,/root/EV-UAV-dataset/train/train_062.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_062.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_062_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_062_pixel_event_map.npz,346,260,32985,1955,1173,ok,
train,train_063,/root/EV-UAV-dataset/train/train_063.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_063.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_063_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_063_pixel_event_map.npz,346,260,32769,1392,930,ok,
train,train_064,/root/EV-UAV-dataset/train/train_064.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_064.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_064_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_064_pixel_event_map.npz,346,260,33361,2096,1196,ok,
train,train_065,/root/EV-UAV-dataset/train/train_065.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_065.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_065_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_065_pixel_event_map.npz,346,260,33115,1555,959,ok,
train,train_066,/root/EV-UAV-dataset/train/train_066.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_066.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_066_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_066_pixel_event_map.npz,346,260,20297,1349,834,ok,
train,train_067,/root/EV-UAV-dataset/train/train_067.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_067.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_067_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_067_pixel_event_map.npz,346,260,32582,2404,1307,ok,
train,train_068,/root/EV-UAV-dataset/train/train_068.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_068.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_068_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_068_pixel_event_map.npz,346,260,32205,2889,1519,ok,
train,train_069,/root/EV-UAV-dataset/train/train_069.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_069.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_069_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_069_pixel_event_map.npz,346,260,31752,323,258,ok,
train,train_070,/root/EV-UAV-dataset/train/train_070.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_070.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_070_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_070_pixel_event_map.npz,346,260,31854,474,399,ok,
train,train_071,/root/EV-UAV-dataset/train/train_071.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_071.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_071_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_071_pixel_event_map.npz,346,260,32667,2027,1325,ok,
train,train_072,/root/EV-UAV-dataset/train/train_072.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_072.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_072_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_072_pixel_event_map.npz,346,260,35190,4455,2373,ok,
