split,source_npz,image_path,width,height,event_count
train,train_047.npz,images/train/train_047_event.ppm,346,260,252604
train,train_048.npz,images/train/train_048_event.ppm,346,260,20433
train,train_049.npz,images/train/train_049_event.ppm,346,260,22833
train,train_050.npz,images/train/train_050_event.ppm,346,260,18300
train,train_051.npz,images/train/train_051_event.ppm,346,260,18574
train,train_052.npz,images/train/train_052_event.ppm,346,260,17631
train,train_053.npz,images/train/train_053_event.ppm,346,260,17763
train,train_054.npz,images/train/train_054_event.ppm,346,260,12322
train,train_055.npz,images/train/train_055_event.ppm,346,260,20090
train,train_056.npz,images/train/train_056_event.ppm,346,260,24294
train,train_057.npz,images/train/train_057_event.ppm,346,260,18076
train,train_058.npz,images/train/train_058_event.ppm,346,260,14707
train,train_059.npz,images/train/train_059_event.ppm,346,260,44257
train,train_060.npz,images/train/train_060_event.ppm,346,260,43606
train,train_061.npz,images/train/train_061_event.ppm,346,260,43318
train,train_062.npz,images/train/train_062_event.ppm,346,260,32985
train,train_063.npz,images/train/train_063_event.ppm,346,260,32769
train,train_064.npz,images/train/train_064_event.ppm,346,260,33361
train,train_065.npz,images/train/train_065_event.ppm,346,260,33115
train,train_066.npz,images/train/train_066_event.ppm,346,260,20297
train,train_067.npz,images/train/train_067_event.ppm,346,260,32582
train,train_068.npz,images/train/train_068_event.ppm,346,260,32205
train,train_069.npz,images/train/train_069_event.ppm,346,260,31752
train,train_070.npz,images/train/train_070_event.ppm,346,260,31854
train,train_071.npz,images/train/train_071_event.ppm,346,260,32667
train,train_072.npz,images/train/train_072_event.ppm,346,260,35190
train,train_073.npz,images/train/train_073_event.ppm,346,260,37768
train,train_074.npz,images/train/train_074_event.ppm,346,260,42210
train,train_075.npz,images/train/train_075_event.ppm,346,260,7511
train,train_076.npz,images/train/train_076_event.ppm,346,260,7537
train,train_077.npz,images/train/train_077_event.ppm,346,260,7719
train,train_078.npz,images/train/train_078_event.ppm,346,260,7814
train,train_079.npz,images/train/train_079_event.ppm,346,260,7372
train,train_080.npz,images/train/train_080_event.ppm,346,260,7230
train,train_081.npz,images/train/train_081_event.ppm,346,260,8964
train,train_082.npz,images/train/train_082_event.ppm,346,260,8452
train,train_083.npz,images/train/train_083_event.ppm,346,260,8222
train,train_084.npz,images/train/train_084_event.ppm,346,260,8417
train,train_085.npz,images/train/train_085_event.ppm,346,260,7724
train,train_086.npz,images/train/train_086_event.ppm,346,260,8547
train,train_087.npz,images/train/train_087_event.ppm,346,260,8654
train,train_088.npz,images/train/train_088_event.ppm,346,260,399750
train,train_089.npz,images/train/train_089_event.ppm,346,260,405722
train,train_090.npz,images/train/train_090_event.ppm,346,260,422448
train,train_091.npz,images/train/train_091_event.ppm,346,260,423790
train,train_092.npz,images/train/train_092_event.ppm,346,260,595519
train,train_093.npz,images/train/train_093_event.ppm,346,260,620778
train,train_094.npz,images/train/train_094_event.ppm,346,260,614725
train,train_095.npz,images/train/train_095_event.ppm,346,260,365730
train,train_096.npz,images/train/train_096_event.ppm,346,260,625178
train,train_097.npz,images/train/train_097_event.ppm,346,260,619767
train,train_098.npz,images/train/train_098_event.ppm,346,260,624246
val,val_000.npz,images/val/val_000_event.ppm,346,260,45361
val,val_001.npz,images/val/val_001_event.ppm,346,260,54625
val,val_002.npz,images/val/val_002_event.ppm,346,260,55695
val,val_003.npz,images/val/val_003_event.ppm,346,260,56519
val,val_004.npz,images/val/val_004_event.ppm,346,260,24933
val,val_005.npz,images/val/val_005_event.ppm,346,260,23566
val,val_006.npz,images/val/val_006_event.ppm,346,260,21773
val,val_007.npz,images/val/val_007_event.ppm,346,260,22194
val,val_008.npz,images/val/val_008_event.ppm,346,260,70943
val,val_009.npz,images/val/val_009_event.ppm,346,260,57607
val,val_010.npz,images/val/val_010_event.ppm,346,260,43897
val,val_011.npz,images/val/val_011_event.ppm,346,260,43971
val,val_012.npz,images/val/val_012_event.ppm,346,260,39595
val,val_013.npz,images/val/val_013_event.ppm,346,260,22034
val,val_014.npz,images/val/val_014_event.ppm,346,260,44399
val,val_015.npz,images/val/val_015_event.ppm,346,260,253955
val,val_016.npz,images/val/val_016_event.ppm,346,260,20608
val,val_017.npz,images/val/val_017_event.ppm,346,260,20064
val,val_018.npz,images/val/val_018_event.ppm,346,260,19594
val,val_019.npz,images/val/val_019_event.ppm,346,260,31971
val,val_020.npz,images/val/val_020_event.ppm,346,260,33159
val,val_021.npz,images/val/val_021_event.ppm,346,260,18358
val,val_022.npz,images/val/val_022_event.ppm,346,260,8165
val,val_023.npz,images/val/val_023_event.ppm,346,260,391344
