source_file,copied_file,class,is_duplicated,target_ratio,actual_ratio
train_003.npz,train_003.npz,uniform_background,false,0.25,0.25252525252525254
train_008.npz,train_008.npz,uniform_background,false,0.25,0.25252525252525254
train_066.npz,train_066.npz,uniform_background,false,0.25,0.25252525252525254
train_051.npz,train_051.npz,uniform_background,false,0.25,0.25252525252525254
train_065.npz,train_065.npz,uniform_background,false,0.25,0.25252525252525254
train_075.npz,train_075.npz,uniform_background,false,0.25,0.25252525252525254
train_080.npz,train_080.npz,uniform_background,false,0.25,0.25252525252525254
train_079.npz,train_079.npz,uniform_background,false,0.25,0.25252525252525254
train_026.npz,train_026.npz,uniform_background,false,0.25,0.25252525252525254
train_018.npz,train_018.npz,uniform_background,false,0.25,0.25252525252525254
train_007.npz,train_007.npz,uniform_background,false,0.25,0.25252525252525254
train_052.npz,train_052.npz,uniform_background,false,0.25,0.25252525252525254
train_017.npz,train_017.npz,uniform_background,false,0.25,0.25252525252525254
train_063.npz,train_063.npz,uniform_background,false,0.25,0.25252525252525254
train_053.npz,train_053.npz,uniform_background,false,0.25,0.25252525252525254
train_064.npz,train_064.npz,uniform_background,false,0.25,0.25252525252525254
train_002.npz,train_002.npz,uniform_background,false,0.25,0.25252525252525254
train_084.npz,train_084.npz,uniform_background,false,0.25,0.25252525252525254
